ID;Traditional;Simplified;Pinyin;Meaning
1;愛;爱;ài;love
2;愛好;爱好;àihào;hobbies
3;八;八;bā;eight
4;爸爸;爸爸;bàba;dad
5;吧;吧;ba;bar
6;白;白;bái;white
7;白天;白天;báitiān;daytime
8;百;百;bǎi;hundred
9;班;班;bān;class
10;半;半;bàn;half
11;半年;半年;bàn nián;half a year
12;半天;半天;bàntiān;long time
13;幫;帮;bāng;help
14;幫忙;帮忙;bāngmáng;help
15;包;包;bāo;bag
16;包子;包子;bāozi;steamed stuffed bun
17;杯;杯;bēi;cup
18;杯子;杯子;bēizi;cup
19;北;北;běi;north
20;北邊;北边;běibian;north
21;北京;北京;Běijīng;beijing
22;本;本;běn;book
23;本子;本子;běnzi;book
24;比;比;bǐ;compare
25;別;别;bié;don't
26;別的;别的;biéde;other
27;別人;别人;biérén;others
28;病;病;bìng;sick
29;病人;病人;bìngrén;patient
30;不大;不大;bù dà;not big
31;不對;不对;bùduì;no
32;不客氣;不客气;bù kèqì;you are welcome
33;不用;不用;bùyòng;need not
34;不;不;bù;no
35;菜;菜;cài;vegetable
36;茶;茶;chá;tea
37;差;差;chà;difference
38;常;常;cháng;often
39;常常;常常;chángcháng;frequent
40;唱;唱;chàng;sing
41;唱歌;唱歌;chànggē;sing
42;車;车;chē;vehicle
43;車票;车票;chēpiào;ticket
44;車上;车上;chē shang;on the car
45;車站;车站;chēzhàn;station
46;吃;吃;chī;eat
47;吃飯;吃饭;chīfàn;eating
48;出;出;chū;out
49;出來;出来;chūlái;come out
50;出去;出去;chūqù;go out
51;穿;穿;chuān;wear
52;床;床;chuáng;bed
53;次;次;cì;second-rate
54;從;从;cóng;from
55;錯;错;cuò;mistaken
56;打;打;dǎ;beat
57;打車;打车;dǎchē;taxi
58;打電話;打电话;dǎ diànhuà;call
59;打開;打开;dǎkāi;open
60;打球;打球;dǎ qiú;playing ball
61;大;大;dà;big
62;大學;大学;dàxué;university
63;大學生;大学生;dàxuéshēng;university students
64;到;到;dào;arrive
65;得到;得到;dédào;get
66;地;地;de;land
67;的;的;de;of
68;等;等;děng;wait
69;地;地;dì;land
70;地點;地点;dìdiǎn;location
71;地方;地方;dìfang;place
72;地上;地上;dìshang;ground
73;地圖;地图;dìtú;map
74;弟弟;弟弟;dìdi;younger brother
75;第;第;dì;no.
76;點;点;diǎn;point
77;電;电;diàn;electricity
78;電話;电话;diànhuà;telephone
79;電腦;电脑;diànnǎo;computer
80;電視;电视;diànshì;tv
81;電視機;电视机;diànshìjī;television
82;電影;电影;diànyǐng;movie
83;電影院;电影院;diànyǐngyuàn;cinema
84;東;东;dōng;east
85;東邊;东边;dōngbian;east
86;東西;东西;dōngxi;east and west
87;動;动;dòng;move
88;動作;动作;dòngzuò;action
89;都;都;dōu;all
90;讀;读;dú;read
91;讀書;读书;dúshū;reading
92;對;对;duì;right
93;對不起;对不起;duìbuqǐ;sorry
94;多;多;duō;many
95;多少;多少;duōshao;how many
96;餓;饿;è;hunger
97;兒子;儿子;érzi;son
98;二;二;èr;two
99;飯;饭;fàn;rice
100;飯店;饭店;fàndiàn;hotel
101;房間;房间;fángjiān;room
102;房子;房子;fángzi;house
103;放;放;fàng;put
104;放假;放假;fàngjià;have a holiday
105;放學;放学;fàngxué;after school
106;飛;飞;fēi;fly
107;飛機;飞机;fēijī;airplane
108;非常;非常;fēicháng;very
109;分;分;fēn;point
110;風;风;fēng;wind
111;乾;干;gān;qian
112;乾淨;干净;gānjìng;clean
113;幹;干;gàn;do
114;幹什麼;干什么;gàn shénme;what are you doing?
115;高;高;gāo;high
116;高興;高兴;gāoxìng;happy
117;告訴;告诉;gàosu;tell
118;哥哥;哥哥;gēge;elder brother
119;歌;歌;gē;song
120;個;个;gè;piece
121;給;给;gěi;give
122;跟;跟;gēn;and
123;工人;工人;gōngrén;worker
124;工作;工作;gōngzuò;work
125;關;关;guān;shut
126;關上;关上;guānshang;close
127;貴;贵;guì;expensive
128;國;国;guó;country
129;國家;国家;guójiā;nation
130;國外;国外;guó wài;foreign countries
131;過;过;guò;pass
132;還;还;hái;also
133;還是;还是;háishi;or
134;還有;还有;hái yǒu;and
135;孩子;孩子;háizi;child
136;漢語;汉语;Hànyǔ;chinese
137;漢字;汉字;Hànzì;chinese characters
138;好;好;hǎo;good
139;好吃;好吃;hǎochī;tasty
140;好看;好看;hǎokàn;nice
141;好聽;好听;hǎotīng;it sounds nice
142;好玩兒;好玩儿;hǎowánr;fun
143;號;号;hào;number
144;喝;喝;hē;drink
145;和;和;hé;and
146;很;很;hěn;very
147;後;后;hòu;back
148;後邊;后边;hòubian;the back
149;後天;后天;hòutiān;the day after tomorrow
150;花;花;huā;flower
151;話;话;huà;talk
152;壞;坏;huài;bad
153;還;还;huán;also
154;回;回;huí;return
155;回答;回答;huídá;answer
156;回到;回到;huídào;back
157;回家;回家;huí jiā;go home
158;回來;回来;huílái;come back
159;回去;回去;huíqù;go back
160;會;会;huì;can
161;火車;火车;huǒchē;train
162;機場;机场;jīchǎng;airport
163;機票;机票;jīpiào;air tickets
164;雞蛋;鸡蛋;jīdàn;eggs
165;幾;几;jǐ;several
166;記;记;jì;record
167;記得;记得;jìde;remember
168;記住;记住;jìzhù;remember
169;家;家;jiā;home
170;家裡;家里;jiā li;home
171;家人;家人;jiārén;family
172;間;间;jiān;between
173;見;见;jiàn;see
174;見面;见面;jiànmiàn;meeting
175;教;教;jiāo;teach
176;叫;叫;jiào;call
177;教學樓;教学楼;jiàoxuélóu;teaching building
178;姐姐;姐姐;jiějie;elder sister
179;介紹;介绍;jièshào;introduce
180;今年;今年;jīnnián;this year
181;今天;今天;jīntiān;today
182;進;进;jìn;enter
183;進來;进来;jìnlái;come in
184;進去;进去;jìnqù;go in
185;九;九;jiǔ;nine
186;就;就;jiù;at once
187;覺得;觉得;juéde;i think
188;開;开;kāi;open
189;開車;开车;kāichē;driving
190;開會;开会;kāihuì;meeting
191;開玩笑;开玩笑;kāi wánxiào;just kidding
192;看;看;kàn;look
193;看病;看病;kànbìng;see a doctor
194;看到;看到;kàndào;see
195;看見;看见;kànjiàn;see
196;考;考;kǎo;test
197;考試;考试;kǎoshì;exam
198;渴;渴;kě;thirsty
199;課;课;kè;class
200;課本;课本;kèběn;textbook
201;課文;课文;kèwén;text
202;口;口;kǒu;mouth
203;塊;块;kuài;block
204;快;快;kuài;quick
205;來;来;lái;come
206;來到;来到;láidào;arrived
207;老;老;lǎo;old
208;老人;老人;lǎorén;elder
209;老師;老师;lǎoshī;teacher
210;了;了;le;already
211;累;累;lèi;tired
212;冷;冷;lěng;cold
213;裡;里;lǐ;inside
214;裡邊;里边;lǐbian;inside
215;兩;两;liǎng;two
216;零;零;líng;zero
217;六;六;liù;six
218;樓;楼;lóu;building
219;樓上;楼上;lóu shàng;upstairs
220;樓下;楼下;lóu xià;downstairs
221;路;路;lù;road
222;路口;路口;lùkǒu;intersection
223;路上;路上;lùshang;on the road
224;媽媽;妈妈;māma;mother
225;馬路;马路;mǎlù;road
226;馬上;马上;mǎshàng;immediately
227;嗎;吗;ma;is that right?
228;買;买;mǎi;buy
229;慢;慢;màn;slow
230;忙;忙;máng;busy
231;毛;毛;máo;hair
232;沒;没;méi;not
233;沒關係;没关系;méi guānxi;it doesn’t matter
234;沒什麼;没什么;méi shénme;it's nothing.
235;沒事兒;没事儿;méishìr;it's okay
236;沒有;没有;méiyǒu;no
237;妹妹;妹妹;mèimei;younger sister
238;門;门;mén;door
239;門口;门口;ménkǒu;doorway
240;門票;门票;ménpiào;tickets
241;們;们;men;them
242;米飯;米饭;mǐfàn;rice
243;麵包;面包;miànbāo;bread
244;麵條兒;面条儿;miàntiáor;noodles
245;名字;名字;míngzi;name
246;明白;明白;míngbai;clear
247;明年;明年;míngnián;next year
248;明天;明天;míngtiān;tomorrow
249;拿;拿;ná;take
250;哪;哪;nǎ;where
251;哪裡;哪里;nǎlǐ;where
252;哪兒;哪儿;nǎr;where
253;哪些;哪些;nǎxiē;which
254;那;那;nà;that
255;那邊;那边;nàbiān;that side
256;那裡;那里;nàlǐ;there
257;那兒;那儿;nàr;there
258;那些;那些;nàxiē;those ones
259;奶;奶;nǎi;milk
260;奶奶;奶奶;nǎinai;grandmother
261;男;男;nán;male
262;男孩兒;男孩儿;nánháir;boy
263;男朋友;男朋友;nánpéngyou;boy friend
264;男人;男人;nánrén;man
265;男生;男生;nánshēng;boys
266;南;南;nán;south
267;南邊;南边;nánbian;south
268;難;难;nán;difficult
269;呢;呢;ne;woolen cloth
270;能;能;néng;able
271;你;你;nǐ;you
272;你們;你们;nǐmen;you
273;年;年;nián;year
274;您;您;nín;you
275;牛奶;牛奶;niúnǎi;milk
276;女;女;nǚ;female
277;女兒;女儿;nǚ'ér;daughter
278;女孩兒;女孩儿;nǚháir;girl
279;女朋友;女朋友;nǚpéngyou;girlfriend
280;女人;女人;nǚrén;woman
281;女生;女生;nǚshēng;girl
282;旁邊;旁边;pángbiān;beside
283;跑;跑;pǎo;run
284;朋友;朋友;péngyou;friend
285;票;票;piào;ticket
286;七;七;qī;seven
287;起;起;qǐ;rise
288;起床;起床;qǐchuáng;get up
289;起來;起来;qǐlái;get up
290;汽車;汽车;qìchē;car
291;前;前;qián;forward
292;前邊;前边;qiánbian;front
293;前天;前天;qiántiān;the day before yesterday
294;錢;钱;qián;money
295;錢包;钱包;qiánbāo;wallet
296;請;请;qǐng;please
297;請假;请假;qǐngjià;ask for leave
298;請進;请进;qǐng jìn;please come in
299;請問;请问;qǐngwèn;question
300;請坐;请坐;qǐng zuò;please sit down
301;球;球;qiú;ball
302;去;去;qù;go
303;去年;去年;qùnián;last year
304;熱;热;rè;hot
305;人;人;rén;people
306;認識;认识;rènshi;know
307;認真;认真;rènzhēn;earnest
308;日;日;rì;day
309;日期;日期;rìqī;date
310;肉;肉;ròu;meat
311;三;三;sān;three
312;山;山;shān;mountain
313;商場;商场;shāngchǎng;shopping mall
314;商店;商店;shāngdiàn;shop
315;上;上;shàng;superior
316;上班;上班;shàngbān;work
317;上邊;上边;shàngbian;above
318;上車;上车;shàng chē;get on the bus
319;上次;上次;shàng cì;last time
320;上課;上课;shàngkè;class
321;上網;上网;shàngwǎng;internet
322;上午;上午;shàngwǔ;morning
323;上學;上学;shàngxué;going to school
324;少;少;shǎo;few
325;誰;谁;shéi/shuí;who
326;身上;身上;shēnshang;on body
327;身體;身体;shēntǐ;body
328;什麼;什么;shénme;what
329;生病;生病;shēngbìng;get ill
330;生氣;生气;shēngqì;anger
331;生日;生日;shēngrì;birthday
332;十;十;shí;ten
333;時候;时候;shíhou;time
334;時間;时间;shíjiān;time
335;事;事;shì;thing
336;試;试;shì;try
337;是;是;shì;yes
338;是不是;是不是;shì bu shì;yes or no
339;手;手;shǒu;hand
340;手機;手机;shǒujī;mobile phone
341;書;书;shū;book
342;書包;书包;shūbāo;schoolbag
343;書店;书店;shūdiàn;bookstore
344;樹;树;shù;tree
345;水;水;shuǐ;water
346;水果;水果;shuǐguǒ;fruit
347;睡;睡;shuì;sleep
348;睡覺;睡觉;shuìjiào;sleep
349;說;说;shuō;say
350;說話;说话;shuōhuà;speaking
351;四;四;sì;four
352;送;送;sòng;deliver
353;歲;岁;suì;age
354;他;他;tā;he
355;他們;他们;tāmen;them
356;她;她;tā;she
357;她們;她们;tāmen;they
358;太;太;tài;too
359;天;天;tiān;sky
360;天氣;天气;tiānqì;weather
361;聽;听;tīng;hear
362;聽到;听到;tīngdào;heard
363;聽見;听见;tīngjiàn;heard
